TRRSRT_NM,BASE_YM,CHNNEL_NM,BASE_YEAR_ACCMLT_FQ_CO,BASE_YM_FQ_CO,BASE_YEAR_BEFORE_MT_FQ_CO,BEFORE_MT_VERSUS_FQ_CO_IRDS_RT,AVRG_SCORE_VALUE,REVIEW_CO,PLACE_TY,LC_LA,LC_LO,ADDR,CTPRVN_NM,SIGNGU_NM,TURSM_CSTMR_CO,BEFORE_YEAR_MT_TURSM_CSTMR_CO,TURSM_CSTMR_CO_IRDS_RT,TURSM_SPND_PRICE,NATIVE_TURSM_SPND_PRICE,FRNR_TURSM_SPND_PRICE
"인천국제공항","202603","유튜브","125.00000","46.00000","54.00000","-0.10000","4.50000","32642.00000","국제공항","37.458666","126.4419679","인천광역시 중구 공항로 272 인천국제공항 (ICN)","인천광역시","중구","8747074.00000","8447425.00000","3.50000","275820263.00000","200508461.00000","75311802.00000"
"부산 국제시장","202603","유튜브","46.00000","24.00000","12.00000","1.00000","4.10000","12861.00000","시장","35.1731121","129.0714122","부산광역시 양정역","부산광역시","부산진구","6622592.00000","6375526.00000","3.90000","114819077.00000","88509410.00000","26309667.00000"
"이태원","202603","유튜브","42.00000","22.00000","6.00000","2.70000","4.30000","302.00000","관광 명소","37.5385051","126.9925224","서울특별시 용산구 이태원동 213-4","서울특별시","용산구","10501456.00000","9982640.00000","5.20000","197037746.00000","162333055.00000","34704691.00000"
"김포공항","202603","유튜브","11.00000","5.00000","3.00000","0.70000","4.40000","11552.00000","국제공항","37.5655383","126.8013282","서울특별시 강서구 하늘길 112 김포국제공항 (GMP)","서울특별시","강서구","8934216.00000","7629496.00000","17.10000","423405075.00000","411439531.00000","11965544.00000"
"동대문","202603","유튜브","17.00000","5.00000","11.00000","-0.50000","4.40000","7794.00000","역사적 명소","37.5819561","127.054846","서울특별시 동대문구 전농동 141-189","서울특별시","동대문구","6191392.00000","5796889.00000","6.80000","91153219.00000","86995001.00000","4158218.00000"
"홍대역","202603","유튜브","37.00000","19.00000","12.00000","0.60000","4.50000","9115.00000","관광 명소","37.557527","126.9244669","서울특별시 홍대입구역","서울특별시","마포구","11178818.00000","10711578.00000","4.40000","246294312.00000","179744728.00000","66549584.00000"
"레고랜드","202603","유튜브","7.00000","1.00000","5.00000","-0.80000","4.30000","4633.00000","테마파크","37.8847787","127.6970027","강원특별자치도 춘천시 하중도길 128","강원특별자치도","춘천시","2683566.00000","2717712.00000","-1.30000","51133760.00000","49933590.00000","1200170.00000"
"부평깡통시장","202603","유튜브","1.00000",,,,"4.10000","19444.00000","재래시장","35.1014118","129.0265106","부산광역시 중구 부평2길 44","부산광역시","중구","3425422.00000","3258675.00000","5.10000","47102855.00000","35129429.00000","11973426.00000"
"경복궁","202603","유튜브","39.00000","12.00000","12.00000",,"4.60000","46103.00000","문화적 랜드마크","37.579617","126.977041","서울특별시 종로구 사직로 161","서울특별시","종로구","14714581.00000","13247028.00000","11.10000","267623925.00000","216063147.00000","51560778.00000"
"전쟁기념관","202603","유튜브","1.00000",,,,"4.60000","17952.00000","전쟁 박물관","37.5366059","126.9771397","서울특별시 용산구 이태원로 29","서울특별시","용산구","10501456.00000","9982640.00000","5.20000","197037746.00000","162333055.00000","34704691.00000"
