ATA_MANAGE_NO,DATA_TITLE_NM,SUMRY_CN,CL_NM,LWPRT_CL_NM,TY_NM,LWPRT_DATA_TY_NM,CTPRVN_NM,SIGNGU_NM,CTLSTT_LA,CTLSTT_LO,REGIST_DE,MAIN_THUMB_URL,CNTNTS_URL,CORE_KWRD_CN,OPN_DE
82431,예산 정동호 가옥,예산 정동호 가옥,생활과 민속,생활,시청각물,VR,충청남도,예산군,36.76379628,126.7198396,20230101,https://minio.nculture.org/amsweb-opt/3ds/102/84707/84707_thumbnail.jpg,https://vr.nculture.org/vr/2020-chungnam-yesangun-yesan-jeongdonghogaog-ochuligaog/,"초가집, 민가, 정동호가옥, 튼ㅁ자형구조",20231230
82430,예산 추사고택,예산 추사고택,생활과 민속,생활,시청각물,VR,충청남도,예산군,36.74693566,126.7984593,20230101,https://minio.nculture.org/amsweb-opt/3ds/103/84708/84708_thumbnail.jpg,https://vr.nculture.org/vr/2020-chungnam-yesangun-yesan-chusagotaeg/,"추사, 김정희, 추사고택, 예산",20231230
82429,예산 예산산성,예산 예산산성,문화유산,건축유적,시청각물,VR,충청남도,예산군,36.69083459,126.8230071,20230101,https://minio.nculture.org/amsweb-opt/3ds/104/84709/84709_thumbnail.jpg,https://vr.nculture.org/vr/2020-chungnam-yesangun-yesansanseong/,"성곽, 예산, 예산산성",20231230
82428,예산 이한직 가옥,예산 이한직 가옥,생활과 민속,생활,시청각물,VR,충청남도,예산군,,,20230101,https://minio.nculture.org/amsweb-opt/3ds/105/84710/84710_thumbnail.jpg,https://vr.nculture.org/vr/2020-chungnam-yesangun-ihanjiggaog/,"예산, 이한직, 이한직가옥",20231230
82427,태안 삼봉해수욕장,태안 삼봉해수욕장,"구비전승,어문학",지명유래,시청각물,VR,충청남도,태안군,,,20230101,https://minio.nculture.org/amsweb-opt/3ds/106/84711/84711_thumbnail.jpg,https://vr.nculture.org/vr/2020-chungnam-taeangun-sambonghaesuyogjang/,"태안, 해수욕장, 삼봉",20231230
82426,태안 안흥성,태안 안흥성,문화유산,건축유적,시청각물,VR,충청남도,태안군,36.68263822,126.1560744,20230101,https://minio.nculture.org/amsweb-opt/3ds/107/84712/84712_thumbnail.jpg,https://vr.nculture.org/vr/2020-chungnam-taeangun-anheungseong/,"태안, 안흥성, 성곽",20231230
82328,태안 상옥리 가영현가옥,태안 상옥리 가영현가옥,생활과 민속,생활,시청각물,VR,충청남도,태안군,36.77703042,126.3167893,20230101,https://minio.nculture.org/amsweb-opt/3ds/108/84713/84713_thumbnail.jpg,https://vr.nculture.org/vr/2020-chungnam-taeangun-taeansang-ogligayeonghyeongaog/,"태안, 상옥리, 가영현가옥",20231230
82327,홍성 사운고택,홍성 사운고택,생활과 민속,생활,시청각물,VR,충청남도,홍성군,36.49826229,126.7429099,20230101,https://minio.nculture.org/amsweb-opt/3ds/109/84714/84714_thumbnail.jpg,https://vr.nculture.org/vr/2020-chungnam-hongseong-gun-hongseong-saungotaeg/,홍성사운고택,20231230
94500,강릉 모학당 고택,강릉 모학당 고택,생활과 민속,생활,시청각물,VR,강원특별자치도,강릉시,37.72650041,128.9039145,20230101,https://minio.nculture.org/amsweb-opt/3ds/201/86374/86374_thumbnail.jpg,https://vr.nculture.org/vr/2021-gang-won-gangleung-333-gangleung-mohagdang-gotaeg/,"모학당, 찰방댁, 강릉8대명당",20231230
94499,강릉 수리골 고택,강릉 수리골 고택,생활과 민속,생활,시청각물,VR,강원특별자치도,강릉시,,,20230101,https://minio.nculture.org/amsweb-opt/3ds/202/86375/86375_thumbnail.jpg,https://vr.nculture.org/vr/2021-gang-won-gangleung-331-gangleung-suligol-gotaeg/,"수리골고택, 해운정, 강릉운정동",20231230
